event_id,disease,district,season_label,year,window_start,window_end,label,leaf_blast_incidence_pct,neck_blast_incidence_pct,leaf_blast_severity_pct,neck_blast_severity_pct,pct_fields_infected,avg_yield_loss_pct,affected_area_ha,note,source,precip_mean_mm,precip_max_mm,precip_sum_mm,precip_climatology_normal_mm,precip_anomaly_mm,rh_mean_pct,rh_max_pct,temp_mean_c,vpd_mean_kpa,wet_persistence_max_days,n_met_days,sar_vv_db_mean,sar_vh_db_mean,n_s1_scenes,ndvi_mean,ndwi_mean,lst_celsius_mean,n_landsat_scenes
WB_Joypurhat_2016,wheat_blast,Joypurhat,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.2733333333333334,20.0,24.6,0.2365093833780161,0.0368239499553172,51.003333333333345,87.81,19.67855555555556,1.205959766567619,1.0,90,-7.017936161030015,-14.611513579544583,6,0.3321960697761161,-0.3087106761832867,22.369832749589875,4.0
WB_Naogaon_2016,wheat_blast,Naogaon,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.2733333333333334,20.0,24.6,0.2365093833780161,0.0368239499553172,51.003333333333345,87.81,19.67855555555556,1.205959766567619,1.0,90,-6.095125063509079,-14.793005623116164,6,0.2294816386182545,-0.2056162909791896,21.797925237148466,4.0
WB_Rajshahi_2016,wheat_blast,Rajshahi,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.4118888888888889,23.99,37.07,0.2792493297587131,0.1326395591301757,50.972666666666655,89.05,20.239888888888892,1.2438667219661277,1.0,90,-6.185934396913413,-14.508818607888438,3,0.2432422933714291,-0.2078292665954497,22.327087472128937,4.0
WB_Natore_2016,wheat_blast,Natore,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.4118888888888889,23.99,37.07,0.2792493297587131,0.1326395591301757,50.972666666666655,89.05,20.239888888888892,1.2438667219661277,1.0,90,-5.7887086823713725,-13.45311182972107,6,0.3090209240356619,-0.2521611622168108,21.99552284257813,4.0
WB_Sirajganj_2016,wheat_blast,Sirajganj,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,1.2426666666666666,92.49,111.84,0.4362949061662198,0.8063717605004468,56.80066666666667,80.3,20.344111111111115,1.105548791577525,1.0,90,-6.828275560490424,-14.666295133740109,4,0.2020308294376504,-0.1772425693385116,23.551763370546897,4.0
WB_Faridpur_2016,wheat_blast,Faridpur,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.6057777777777779,15.88,54.52,0.4613672922252011,0.1444104855525767,56.373,77.39,21.10822222222222,1.174219328641751,2.0,90,-6.952457960727346,-13.989117476259205,4,0.3030349637879074,-0.2664114311693311,24.088332428164065,4.0
WB_Rajbari_2016,wheat_blast,Rajbari,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.5872222222222222,25.39,52.85,0.3811152815013404,0.2061069407208817,53.433777777777784,76.12,20.848333333333333,1.224045477064256,1.0,90,-7.592863346150304,-14.301043104060568,5,0.2707500714826867,-0.2305076632492249,23.2068170591797,4.0
WB_Magura_2016,wheat_blast,Magura,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.5898888888888889,16.28,53.09,0.4295710455764076,0.1603178433124813,54.500888888888895,74.01,21.031444444444443,1.219134930673346,2.0,90,-7.056997915692778,-14.516810403274716,4,0.419348490926868,-0.3737929424133675,24.98426089320313,4.0
WB_Narail_2016,wheat_blast,Narail,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.7243333333333332,21.67,65.18999999999998,0.4795442359249329,0.2447890974084002,55.131,76.36,21.337777777777777,1.2345399707257698,3.0,90,-7.281110561379702,-14.48610096242695,4,0.4489211746517337,-0.3970712833007727,24.039575574511744,4.0
WB_Satkhira_2016,wheat_blast,Satkhira,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.9165555555555556,39.15,82.49000000000001,0.5055495978552278,0.4110059577003278,56.653888888888886,78.57,21.944111111111113,1.2530127604591388,3.0,90,-7.537985200867808,-15.77357956355706,1,0.3055902471226364,-0.2583225127437364,23.695850938261728,4.0
